Date,Open,High,Low,Close,Adj Close,Volume
10/12/2021,168.5,170.240005,167.330002,169.059998,165.684418,4791100
13/12/2021,168.809998,169.389999,165.259995,166.839996,163.508743,5972300
14/12/2021,166.289993,167.080002,164.210007,165.399994,162.097504,4872200
15/12/2021,165,165.669998,161.820007,163.899994,160.627457,7144600
16/12/2021,162.699997,165.940002,162.529999,162.720001,159.471008,7138100
17/12/2021,161.630005,162.860001,160.550003,161.360001,158.138168,7705100
20/12/2021,159.339996,159.600006,155.470001,156.979996,153.845627,8411900
21/12/2021,166.690002,171.190002,164.710007,166.630005,163.302963,13862900
22/12/2021,167.240005,169,164.089996,165.440002,162.136719,5811300
23/12/2021,166.25,167.160004,165.440002,165.669998,162.362106,3876900
27/12/2021,166.520004,167.690002,165.479996,167.580002,164.233963,3769300
28/12/2021,167.800003,168.25,166.300003,166.419998,163.097122,2658600
29/12/2021,167.070007,169.800003,166.600006,168.779999,165.410019,3830900
30/12/2021,168.309998,170.119995,167.199997,167.490005,164.145782,2666800
31/12/2021,167.559998,167.720001,166.210007,166.669998,163.342133,2752000
03/01/2022,167.529999,167.910004,163.309998,164.669998,161.38208,5670500
04/01/2022,165.880005,167.179993,165,166.389999,163.067749,6064200
05/01/2022,166.490005,167.009995,162.100006,162.25,159.010406,5021000
06/01/2022,162.089996,163.190002,159.059998,161.039993,157.824539,4144600
07/01/2022,160.770004,161.139999,156.860001,156.970001,153.835831,5108000
10/01/2022,150.520004,151.330002,148.779999,150.440002,147.436218,10439000
11/01/2022,150.479996,150.839996,147.600006,150.300003,147.298996,8175400
12/01/2022,152.130005,153.460007,150.740005,152.210007,149.170853,6351200
13/01/2022,153.199997,153.600006,149.020004,149.589996,146.603165,4990900
14/01/2022,148.389999,148.839996,146.850006,148.179993,145.221313,6030500
18/01/2022,148.059998,148.830002,146.300003,146.949997,144.015869,6931000
19/01/2022,147.759995,149.100006,145.020004,145.110001,142.212631,4823800
20/01/2022,145.460007,147.380005,142.5,142.729996,139.880142,5366500
21/01/2022,144.320007,146.360001,142.850006,142.949997,140.095749,7553400
24/01/2022,140.809998,146.309998,139.559998,146,143.084854,9733200
25/01/2022,144.970001,147.960007,142.509995,145.479996,142.575241,8195400
26/01/2022,147.779999,148.970001,142.729996,143.990005,141.11499,7444600
27/01/2022,144.990005,147.350006,143.580002,144.639999,141.752014,6396400
28/01/2022,144.119995,146.029999,140.610001,145.910004,142.996658,6130200
31/01/2022,146.270004,148.179993,145.220001,148.070007,145.113525,6932200
01/02/2022,149.5,149.679993,146.800003,148.220001,145.260529,6695000
02/02/2022,148.350006,149.460007,147.529999,148.710007,145.740738,5491700
03/02/2022,147.399994,148.460007,144.970001,145.309998,142.408646,5240200
04/02/2022,145.369995,146.479996,143.639999,145.389999,142.48703,4313400
07/02/2022,145.300003,146.119995,144.220001,145.139999,142.242004,3877500
08/02/2022,144.740005,145.5,142.300003,143.529999,140.664169,5829400
09/02/2022,146.110001,147.360001,145.669998,146.259995,143.339661,4551000
10/02/2022,143.960007,147.539993,143.850006,144.820007,141.928436,5142600
